sku,date,channel,region,units_sold,stock_available,promotion_flag,price_unit,delivery_days,delivered_qty,is_holiday_peak,week_number,month_m,year_y,is_holiday_week,is_summer,is_winter,sku_age,lifecycle_stage,lag_1,lag_2,rolling_mean_4,rolling_std_4,momentum,target_next_week,price_avg,promo_rate,stock_avg,deliveries,avg_temp,inflation_index,school_in_session,category_trend,event_score,pack_type
MI-006,2/14/2022,Discount,PL-Central,73,160.3333333,1,6.103333333,3.333333333,128,False,7,2,2022,0,0,1,4,Growth,93,57,69,16.57307053,36,78,6.103333333,0.166666667,160.3333333,6,10.74507123,99.7752346,1,1,0,
MI-006,2/14/2022,E-commerce,PL-Central,86,144.8571429,1,4.447142857,3.857142857,129,False,7,2,2022,0,0,1,4,Growth,145,104,88.5,51.66881716,41,33,4.447142857,0.285714286,144.8571429,7,1.676142695,145.0213116,1,1.122229347,0,
MI-006,2/14/2022,Retail,PL-Central,63,110.8,1,5.628,2,161,False,7,2,2022,0,0,1,4,Growth,92,103,77.25,30.32463245,-11,84,5.628,0.4,110.8,5,19.90317239,190.9216501,1,1.136070105,0,
MI-006,2/14/2022,E-commerce,PL-North,87,139.4285714,1,4.555714286,2.714285714,114,False,7,2,2022,0,0,1,4,Growth,92,75,57.75,32.8975683,17,79,4.555714286,0.285714286,139.4285714,7,8.742326282,159.9486063,1,1.127971899,0,
MI-006,2/14/2022,E-commerce,PL-South,103,168.5714286,1,5.134285714,2.571428571,204,False,7,2,2022,0,0,1,4,Growth,50,56,57.5,12.79322737,-6,59,5.134285714,0.142857143,168.5714286,7,13.26238185,175.8178897,1,1.132428113,0,
MI-006,2/14/2022,Discount,PL-North,44,134.5,1,3.4075,2.75,154,False,7,2,2022,0,0,1,4,Growth,78,50,60,18.56520042,28,109,3.4075,0.25,134.5,4,3.744512693,115.5925269,1,1.100345597,0,
MI-006,2/14/2022,Discount,PL-South,83,194.2,1,4.518,1.6,156,False,7,2,2022,0,0,1,4,Growth,38,72,62.25,23.30057224,-34,73,4.518,0.2,194.2,5,-1.170581257,132.5895636,1,1.114142205,0,
MI-006,2/14/2022,Retail,PL-North,78,164.8333333,1,6.378333333,2.833333333,185,False,7,2,2022,0,0,1,4,Growth,98,59,61.5,37.8461799,39,80,6.378333333,0.166666667,164.8333333,6,18.41181837,205.0693443,1,1.139149947,0,
MI-006,2/14/2022,Retail,PL-South,75,165.5,0,4.418333333,2.666666667,161,False,7,2,2022,0,0,1,4,Growth,63,117,67,45.33578425,-54,46,4.418333333,0,165.5,6,15.59225952,220.9213833,1,1.141801537,0,
MI-006,2/21/2022,Retail,PL-Central,84,148.1428571,1,5.982857143,2.857142857,192,False,8,2,2022,0,0,1,5,Growth,63,92,84.5,17.13670525,-29,70,5.982857143,0.285714286,148.1428571,7,18.26455204,189.9724509,1,1.13609229,0,
MI-006,2/21/2022,Discount,PL-North,109,160.6,1,4.428,2.4,249,False,8,2,2022,0,0,1,5,Growth,44,78,61.25,16.7605688,-34,82,4.428,0.6,160.6,5,4.839024847,115.8783611,1,1.10047761,0,
MI-006,2/21/2022,Retail,PL-South,46,140.8,0,5.642,2.6,198,False,8,2,2022,0,0,1,5,Growth,75,63,83.75,23.28626204,12,112,5.642,0,140.8,5,14.83506847,222.0884428,1,1.141818196,0,
MI-006,2/21/2022,Retail,PL-North,80,141.6,1,5.354,4,281,False,8,2,2022,0,0,1,5,Growth,78,98,78.5,15.92691642,-20,117,5.354,0.2,141.6,5,20.30312347,204.3782624,1,1.139168968,0,
MI-006,2/21/2022,E-commerce,PL-Central,33,171.3333333,0,6.436666667,4,140,False,8,2,2022,0,0,1,5,Growth,86,145,104.75,28.30047114,-59,100,6.436666667,0,171.3333333,3,2.578153224,147.0011907,1,1.122273644,0,
MI-006,2/21/2022,Discount,PL-South,73,140.3333333,1,4.786666667,2.833333333,158,False,8,2,2022,0,0,1,5,Growth,83,38,60.5,20.63169083,45,96,4.786666667,0.166666667,140.3333333,6,-0.549689735,130.6796332,1,1.11420854,0,
MI-006,2/21/2022,E-commerce,PL-South,59,135.3333333,1,5.61,3.166666667,106,False,8,2,2022,0,0,1,5,Growth,103,50,71.25,23.90780905,53,80,5.61,0.333333333,135.3333333,6,11.51852196,175.4764095,1,1.132454726,0,
MI-006,2/21/2022,E-commerce,PL-North,79,176.8571429,0,4.774285714,3.571428571,191,False,8,2,2022,0,0,1,5,Growth,87,92,75.25,20.13909962,-5,87,4.774285714,0,176.8571429,7,5.070703143,158.3269675,1,1.128005149,0,
MI-006,2/21/2022,Discount,PL-Central,78,92.71428571,1,5.751428571,2.714285714,172,False,8,2,2022,0,0,1,5,Growth,73,93,72.5,15.17673658,-20,106,5.751428571,0.285714286,92.71428571,7,10.99797035,98.92988697,1,1.013862944,0,
MI-006,2/28/2022,E-commerce,PL-South,80,172.6666667,0,4.688333333,2.5,183,False,9,2,2022,0,0,1,6,Growth,59,103,67,24.2899156,-44,71,4.688333333,0,172.6666667,6,10.92934676,174.2979484,1,1.132481305,0,
MI-006,2/28/2022,E-commerce,PL-North,87,180.4,1,4.97,3.4,140,False,9,2,2022,0,0,1,6,Growth,79,87,83.25,7.675719293,-8,73,4.97,0.2,180.4,5,6.65717716,161.4619215,1,1.128038344,0,
MI-006,2/28/2022,Retail,PL-South,112,170.7142857,1,5.724285714,4.285714286,232,False,9,2,2022,0,0,1,6,Growth,46,75,75.25,30.26962174,-29,61,5.724285714,0.285714286,170.7142857,7,15.03653916,218.5140167,1,1.141834842,0,
MI-006,2/28/2022,Discount,PL-North,82,202.4,0,5.556,3.2,167,False,9,2,2022,0,0,1,6,Growth,109,44,70.25,29.78114616,65,53,5.556,0,202.4,5,4.332731197,114.6488143,1,1.100608758,0,
MI-006,2/28/2022,E-commerce,PL-Central,100,180.25,1,5.6425,4.5,140,False,9,2,2022,0,0,1,6,Growth,33,86,92,46.43992535,-53,80,5.6425,0.25,180.25,4,-0.828751496,145.1393392,1,1.122317843,0,
MI-006,2/28/2022,Retail,PL-Central,70,127.5,1,3.928333333,3.5,189,False,9,2,2022,0,0,1,6,Growth,84,63,85.5,16.90167645,21,59,3.928333333,0.166666667,127.5,6,18.27295589,191.7111549,1,1.136114451,0,
MI-006,2/28/2022,Discount,PL-Central,106,163.4285714,1,5.347142857,3.285714286,246,False,9,2,2022,0,0,1,6,Growth,78,73,75.25,14.84082208,5,59,5.347142857,0.142857143,163.4285714,7,13.36468945,98.39801956,1,1.021972246,0,
MI-006,2/28/2022,Retail,PL-North,117,163.4285714,1,5.864285714,4.571428571,161,False,9,2,2022,0,0,1,6,Growth,80,78,78.75,15.94521872,2,66,5.864285714,0.571428571,163.4285714,7,20.66813402,205.3768209,1,1.13918797,0,
MI-006,2/28/2022,Discount,PL-South,96,185,1,4.731666667,3,140,False,9,2,2022,0,0,1,6,Growth,73,83,66.5,19.63839776,-10,76,4.731666667,0.166666667,185,6,1.770777981,130.5257963,1,1.114274656,0,
MI-006,3/7/2022,Discount,PL-North,53,142.6,0,4.554,3.2,188,False,10,3,2022,0,0,0,7,Growth,82,109,78.25,26.66302058,-27,97,4.554,0,142.6,5,6.802331675,114.4818011,1,1.100739052,0,
MI-006,3/7/2022,E-commerce,PL-North,73,127,0,4.471428571,3.142857143,139,False,10,3,2022,0,0,0,7,Growth,87,79,86.25,5.377421935,8,44,4.471428571,0,127,7,6.352809321,159.3942677,1,1.128071484,0,
MI-006,3/7/2022,Retail,PL-Central,59,160.6,0,4.884,2.2,151,False,10,3,2022,0,0,0,7,Growth,70,84,77.25,13.1497782,-14,75,4.884,0,160.6,5,19.40278528,188.8488243,1,1.136136587,0,
MI-006,3/7/2022,Discount,PL-Central,59,151.6,0,5.594,3.2,219,False,10,3,2022,0,0,0,7,Growth,106,78,87.5,14.97776129,28,88,5.594,0,151.6,5,15.83059366,100.8414627,1,1.027725887,0,
MI-006,3/7/2022,Retail,PL-North,66,140.3333333,0,5.086666667,2.5,127,False,10,3,2022,0,0,0,7,Growth,117,80,93.25,18.20942979,37,116,5.086666667,0,140.3333333,6,20.39101065,204.7533199,1,1.139206955,0,
MI-006,3/7/2022,Retail,PL-South,61,133.6666667,1,4.86,3.166666667,185,False,10,3,2022,0,0,0,7,Growth,112,46,74,27.98809271,66,100,4.86,0.166666667,133.6666667,6,16.81467284,218.3200756,1,1.141851474,0,
MI-006,3/7/2022,E-commerce,PL-Central,80,146.2857143,1,4.771428571,2.714285714,111,False,10,3,2022,0,0,0,7,Growth,100,33,91,46.13747573,67,67,4.771428571,0.142857143,146.2857143,7,1.046651599,144.5915932,1,1.122361944,0,
MI-006,3/7/2022,E-commerce,PL-South,71,125.1666667,1,4.788333333,3.666666667,91,False,10,3,2022,0,0,0,7,Growth,80,59,73,23.62202362,21,150,4.788333333,0.333333333,125.1666667,6,12.7858295,174.4303369,1,1.132507847,0,
MI-006,3/7/2022,Discount,PL-South,76,163.8333333,0,5.246666667,2.5,138,False,10,3,2022,0,0,0,7,Growth,96,73,72.5,24.85290057,23,140,5.246666667,0,163.8333333,6,2.060995142,130.4943843,1,1.114340554,0,
MI-006,3/14/2022,E-commerce,PL-Central,67,116.3333333,1,6.863333333,4.333333333,217,False,11,3,2022,0,0,0,8,Growth,80,100,74.75,29.0674503,-20,149,6.863333333,0.166666667,116.3333333,6,-0.722475169,143.8862856,1,1.122405948,0,
MI-006,3/14/2022,Discount,PL-South,140,128.8571429,1,5.694285714,3.714285714,201,False,11,3,2022,0,0,0,8,Growth,76,96,82,10.23067284,-20,152,5.694285714,0.571428571,128.8571429,7,1.73880895,130.0468337,1,1.114406236,0,
